agent,rate,seed,steps,detail,cause,category
narrow,300.0,0,3245640,IP1,ip_escaped,noise
narrow,300.0,1,419289,IP0,ip_escaped,noise
narrow,300.0,2,4254538,IP0,ip_escaped,noise
narrow,300.0,3,763253,IP0,ip_escaped,noise
narrow,300.0,4,447779,IP0,ip_escaped,noise
narrow,300.0,5,3873894,IP0,ip_escaped,noise
narrow,300.0,6,340498,IP0,stomach_dirty_cl,noise
narrow,300.0,7,2785056,IP0,ip_escaped,noise
narrow,300.0,8,10000000,,ok,ok
narrow,300.0,9,421688,IP1,ip_escaped,noise
narrow,300.0,10,8463530,IP1,ip_escaped,noise
narrow,300.0,11,526636,IP0,ip_escaped,noise
narrow,300.0,12,3210388,IP1,ip_escaped,noise
narrow,300.0,13,3483330,IP0,ip_escaped,noise
narrow,300.0,14,1437837,IP1,ip_escaped,noise
narrow,300.0,15,550000,IP1,ix_escaped,noise
narrow,300.0,16,10000000,,ok,ok
narrow,300.0,17,8501002,IP1,ip_escaped,noise
narrow,300.0,18,1017176,IP0,ip_escaped,noise
narrow,300.0,19,299270,IP1,ip_escaped,noise
narrow,300.0,20,85236,IP0,ip_escaped,noise
narrow,300.0,21,1713612,IP1,ip_escaped,noise
narrow,300.0,22,5955607,IP0,ip_escaped,noise
narrow,300.0,23,282954,IP1,ip_escaped,noise
narrow,300.0,24,1407728,IP1,ip_escaped,noise
narrow,300.0,25,2125516,IP0,ip_escaped,noise
narrow,300.0,26,5918002,IP1,ip_escaped,noise
narrow,300.0,27,5818994,IP1,stomach_dirty_cl,noise
narrow,300.0,28,5285171,IP0,ip_escaped,noise
narrow,300.0,29,455185,IP1,ip_escaped,noise
narrow,300.0,30,7354974,IP1,stomach_dirty_cl,noise
narrow,300.0,31,2659786,IP0,stomach_dirty_cl,noise
narrow,300.0,32,2170308,IP0,stomach_dirty_cl,noise
narrow,300.0,33,733868,IP0,ip_escaped,noise
narrow,300.0,34,3404149,IP1,ip_escaped,noise
narrow,300.0,35,6556557,IP1,ip_escaped,noise
narrow,300.0,36,10000000,,ok,ok
narrow,300.0,37,3022406,IP1,ip_escaped,noise
narrow,300.0,38,3647628,IP0,ip_escaped,noise
narrow,300.0,39,489581,IP0,ip_escaped,noise
narrow,300.0,40,3884066,IP0,ip_escaped,noise
narrow,300.0,41,839437,IP1,ip_escaped,noise
narrow,300.0,42,203842,IP0,ip_escaped,noise
narrow,300.0,43,6917710,IP1,ip_escaped,noise
narrow,300.0,44,4110731,IP1,ip_escaped,noise
narrow,300.0,45,620342,IP1,stomach_dirty_cl,noise
narrow,300.0,46,4987612,IP1,ip_escaped,noise
narrow,300.0,47,509664,IP0,ip_escaped,noise
narrow,300.0,48,3806036,IP0,ip_escaped,noise
narrow,300.0,49,7879764,IP0,ip_escaped,noise
wide,300.0,0,2833717,IP1,ip_escaped,noise
wide,300.0,1,385368,IP0,ip_escaped,noise
wide,300.0,2,5124378,IP0,ip_escaped,noise
wide,300.0,3,10000000,,ok,ok
wide,300.0,4,446424,IP0,ip_escaped,noise
wide,300.0,5,738666,IP0,ip_escaped,noise
wide,300.0,6,3787982,IP1,stomach_dirty_cl,noise
wide,300.0,7,10000000,,ok,ok
wide,300.0,8,3554082,IP0,ip_escaped,noise
wide,300.0,9,4012327,IP1,ip_escaped,noise
wide,300.0,10,2200448,IP0,stomach_dirty_cl,noise
wide,300.0,11,1500744,IP1,ip_escaped,noise
wide,300.0,12,2877106,IP1,ip_escaped,noise
wide,300.0,13,4800987,IP1,ip_escaped,noise
wide,300.0,14,518222,IP1,ip_escaped,noise
wide,300.0,15,5768908,IP0,ip_escaped,noise
wide,300.0,16,8335122,IP0,ip_escaped,noise
wide,300.0,17,2544346,IP1,ip_escaped,noise
wide,300.0,18,8846694,IP1,ip_escaped,noise
wide,300.0,19,5794975,IP0,ip_escaped,noise
wide,300.0,20,3732906,IP0,ip_escaped,noise
wide,300.0,21,10000000,,ok,ok
wide,300.0,22,7073291,IP1,ip_escaped,noise
wide,300.0,23,3455127,IP0,ip_escaped,noise
wide,300.0,24,662611,IP1,ip_escaped,noise
wide,300.0,25,10000000,,ok,ok
wide,300.0,26,348997,IP1,ip_escaped,noise
wide,300.0,27,2470085,IP1,ip_escaped,noise
wide,300.0,28,2163067,IP0,ip_escaped,noise
wide,300.0,29,8926465,IP0,ip_escaped,noise
wide,300.0,30,9982940,IP0,ip_escaped,noise
wide,300.0,31,4280560,IP1,ip_escaped,noise
wide,300.0,32,6265536,IP0,stomach_dirty_cl,noise
wide,300.0,33,212677,IP0,ip_escaped,noise
wide,300.0,34,2157011,IP1,ip_escaped,noise
wide,300.0,35,10000000,,ok,ok
wide,300.0,36,7171726,IP0,ip_escaped,noise
wide,300.0,37,3801504,IP1,stomach_dirty_cl,noise
wide,300.0,38,2429590,IP1,stomach_dirty_cl,noise
wide,300.0,39,4796133,IP0,ip_escaped,noise
wide,300.0,40,1431577,IP1,ip_escaped,noise
wide,300.0,41,2461109,IP0,ip_escaped,noise
wide,300.0,42,3301817,IP1,ip_escaped,noise
wide,300.0,43,9037380,IP0,ip_escaped,noise
wide,300.0,44,7377770,IP0,ip_escaped,noise
wide,300.0,45,3263414,IP1,ip_escaped,noise
wide,300.0,46,2111263,IP0,ip_escaped,noise
wide,300.0,47,4093522,IP1,ip_escaped,noise
wide,300.0,48,2187413,IP0,ip_escaped,noise
wide,300.0,49,4626548,IP0,ip_escaped,noise
